site,depth,bank,id,cd,cw,l1s,l4s,t1c,th,ch,cs
West FGB,mesophotic,west.mesophotic,54,,,,,,,,
West FGB,mesophotic,west.mesophotic,68,,,,,,,,
West FGB,mesophotic,west.mesophotic,69,,,,,,,,
West FGB,mesophotic,west.mesophotic,177,,,,,,,,
West FGB,mesophotic,west.mesophotic,178,,,,,,,,
West FGB,mesophotic,west.mesophotic,179,,,,,,,,
West FGB,mesophotic,west.mesophotic,1001,,,,,,,,
West FGB,mesophotic,west.mesophotic,1002,,,,,,,,
West FGB,mesophotic,west.mesophotic,1003,,,,,,,,
West FGB,mesophotic,west.mesophotic,1004,,,,,,,,
West FGB,mesophotic,west.mesophotic,1005,,,,,,,,
West FGB,mesophotic,west.mesophotic,1006,,,,,,,,
West FGB,mesophotic,west.mesophotic,1007,,,,,,,,
West FGB,mesophotic,west.mesophotic,1008,,,,,,,,
West FGB,mesophotic,west.mesophotic,1011,,,,,,,,
West FGB,mesophotic,west.mesophotic,1012,,,,,,,,
West FGB,mesophotic,west.mesophotic,1013,,,,,,,,
West FGB,mesophotic,west.mesophotic,1014,,,,,,,,
West FGB,mesophotic,west.mesophotic,1015,,,,,,,,
West FGB,mesophotic,west.mesophotic,04-V-16-4-01-176,,,,,,,,
West FGB,mesophotic,west.mesophotic,04-V-16-4-06,,,,,,,,
West FGB,mesophotic,west.mesophotic,04-V-16-4-07,,,,,,,,
West FGB,mesophotic,west.mesophotic,04-V-16-4-08,,,,,,,,
West FGB,mesophotic,west.mesophotic,05-V-16-1-01,,,,,,,,
West FGB,mesophotic,west.mesophotic,05-V-16-1-02,,,,,,,,
West FGB,mesophotic,west.mesophotic,05-V-16-1-03,,,,,,,,
West FGB,mesophotic,west.mesophotic,05-V-16-1-06,,,,,,,,
West FGB,mesophotic,west.mesophotic,05-V-16-2-03-52,,,,,,,,
West FGB,mesophotic,west.mesophotic,05-V-16-2-04-53,,,,,,,,
West FGB,shallow,west.shallow,1,,,,,,,,
West FGB,shallow,west.shallow,2,,,,,,,,
West FGB,shallow,west.shallow,196,,,,,,,,
West FGB,shallow,west.shallow,199,,,,,,,,
West FGB,shallow,west.shallow,05-V-16-4-01-118,,,,,,,,
West FGB,shallow,west.shallow,05-V-16-4-02-120,,,,,,,,
West FGB,shallow,west.shallow,05-V-16-4-03-119,,,,,,,,
West FGB,shallow,west.shallow,05-V-16-4-04-124,,,,,,,,
West FGB,shallow,west.shallow,05-V-16-4-05-121,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-1,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-2,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-3,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-4,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-5,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-6,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-7,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-8,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-1-9,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-1,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-2,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-3,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-4,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-5,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-6,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-7,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-2-8,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-3-1,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-3-2,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-3-3,,,,,,,,
West FGB,shallow,west.shallow,25-X-14-3-4,,,,,,,,
East FGB,mesophotic,east.mesophotic,57,,,,,,,,
East FGB,mesophotic,east.mesophotic,60,,,,,,,,
East FGB,mesophotic,east.mesophotic,191,,,,,,,,
East FGB,mesophotic,east.mesophotic,192,,,,,,,,
East FGB,mesophotic,east.mesophotic,194,,,,,,,,
East FGB,mesophotic,east.mesophotic,3001,,,,,,,,
East FGB,mesophotic,east.mesophotic,7001,,,,,,,,
East FGB,mesophotic,east.mesophotic,7003,,,,,,,,
East FGB,mesophotic,east.mesophotic,7004,,,,,,,,
East FGB,mesophotic,east.mesophotic,7005,,,,,,,,
East FGB,mesophotic,east.mesophotic,7006,,,,,,,,
East FGB,mesophotic,east.mesophotic,7008,,,,,,,,
East FGB,mesophotic,east.mesophotic,7009,,,,,,,,
East FGB,mesophotic,east.mesophotic,7011,,,,,,,,
East FGB,mesophotic,east.mesophotic,7015,,,,,,,,
East FGB,mesophotic,east.mesophotic,03-V-16-1-01-71,,,,,,,,
East FGB,mesophotic,east.mesophotic,03-V-16-1-02-72,,,,,,,,
East FGB,mesophotic,east.mesophotic,03-V-16-1-03,,,,,,,,
East FGB,mesophotic,east.mesophotic,04-V-16-1-01-74,,,,,,,,
East FGB,mesophotic,east.mesophotic,04-V-16-1-04,,,,,,,,
East FGB,mesophotic,east.mesophotic,04-V-16-1-05,,,,,,,,
East FGB,mesophotic,east.mesophotic,04-V-16-2-04-193,,,,,,,,
East FGB,shallow,east.shallow,189,,,,,,,,
East FGB,shallow,east.shallow,190,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-2-01,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-2-02,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-2-03,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-3-01,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-3-02,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-3-03,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-3-04,,,,,,,,
East FGB,shallow,east.shallow,04-V-16-3-05,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-1,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-10,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-2,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-3,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-4,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-5,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-6,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-7,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-8,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-1-9,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-1,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-2,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-3,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-4,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-5,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-6,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-7,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-8,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-2-9,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-1,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-2,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-3,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-4,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-5,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-6,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-7,,,,,,,,
East FGB,shallow,east.shallow,26-X-14-3-8,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-01,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-02,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-05,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-07,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-08,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-09,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-1-10,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-2-02,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-01,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-02,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-03,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-04,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-06,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-07,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-08,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-10,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-11,,,,,,,,
Bright,mesophotic,bright.mesophotic,07-V-16-3-13,,,,,,,,
Bright,mesophotic,bright.mesophotic,10-VII-15-7-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-02,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-03,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-04,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-05,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-06,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-07,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-09,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-1-10,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-03,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-04,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-05,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-06,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-08,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-09,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-10,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,07-VII-15-1-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-1-03,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-1-05,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-02,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-04,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-05,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-06,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-3-02,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR131,,,,,,,,
