bank,depth,id,cd,cw,l1s,l4s,t1c,th,ch,cs
bright,mesophotic,07-V-16-1-01,,,,,,,,
bright,mesophotic,07-V-16-1-02,,,,,,,,
bright,mesophotic,07-V-16-1-05,,,,,,,,
bright,mesophotic,07-V-16-1-07,,,,,,,,
bright,mesophotic,07-V-16-1-08,,,,,,,,
bright,mesophotic,07-V-16-1-09,,,,,,,,
bright,mesophotic,07-V-16-1-10,,,,,,,,
bright,mesophotic,07-V-16-2-02,,,,,,,,
bright,mesophotic,07-V-16-3-01,,,,,,,,
bright,mesophotic,07-V-16-3-02,,,,,,,,
bright,mesophotic,07-V-16-3-03,,,,,,,,
bright,mesophotic,07-V-16-3-04,,,,,,,,
bright,mesophotic,07-V-16-3-06,,,,,,,,
bright,mesophotic,07-V-16-3-07,,,,,,,,
bright,mesophotic,07-V-16-3-08,,,,,,,,
bright,mesophotic,07-V-16-3-10,,,,,,,,
bright,mesophotic,07-V-16-3-11,,,,,,,,
bright,mesophotic,07-V-16-3-13,,,,,,,,
bright,mesophotic,10-VII-15-7-01,,,,,,,,
east,shallow,189,,,,,,,,
east,shallow,190,,,,,,,,
east,shallow,04-V-16-2-01,,,,,,,,
east,shallow,04-V-16-2-02,,,,,,,,
east,shallow,04-V-16-2-03,,,,,,,,
east,shallow,04-V-16-3-01,,,,,,,,
east,shallow,04-V-16-3-02,,,,,,,,
east,shallow,04-V-16-3-03,,,,,,,,
east,shallow,04-V-16-3-04,,,,,,,,
east,shallow,04-V-16-3-05,,,,,,,,
east,shallow,26-X-14-1-1,,,,,,,,
east,shallow,26-X-14-1-10,,,,,,,,
east,shallow,26-X-14-1-2,,,,,,,,
east,shallow,26-X-14-1-3,,,,,,,,
east,shallow,26-X-14-1-4,,,,,,,,
east,shallow,26-X-14-1-5,,,,,,,,
east,shallow,26-X-14-1-6,,,,,,,,
east,shallow,26-X-14-1-7,,,,,,,,
east,shallow,26-X-14-1-8,,,,,,,,
east,shallow,26-X-14-1-9,,,,,,,,
east,shallow,26-X-14-2-1,,,,,,,,
east,shallow,26-X-14-2-2,,,,,,,,
east,shallow,26-X-14-2-3,,,,,,,,
east,shallow,26-X-14-2-4,,,,,,,,
east,shallow,26-X-14-2-5,,,,,,,,
east,shallow,26-X-14-2-6,,,,,,,,
east,shallow,26-X-14-2-7,,,,,,,,
east,shallow,26-X-14-2-8,,,,,,,,
east,shallow,26-X-14-2-9,,,,,,,,
east,shallow,26-X-14-3-1,,,,,,,,
east,shallow,26-X-14-3-2,,,,,,,,
east,shallow,26-X-14-3-3,,,,,,,,
east,shallow,26-X-14-3-4,,,,,,,,
east,shallow,26-X-14-3-5,,,,,,,,
east,shallow,26-X-14-3-6,,,,,,,,
east,shallow,26-X-14-3-7,,,,,,,,
east,shallow,26-X-14-3-8,,,,,,,,
east,mesophotic,57,,,,,,,,
east,mesophotic,60,,,,,,,,
east,mesophotic,191,,,,,,,,
east,mesophotic,192,,,,,,,,
east,mesophotic,194,,,,,,,,
east,mesophotic,3001,,,,,,,,
east,mesophotic,7001,,,,,,,,
east,mesophotic,7003,,,,,,,,
east,mesophotic,7004,,,,,,,,
east,mesophotic,7005,,,,,,,,
east,mesophotic,7006,,,,,,,,
east,mesophotic,7008,,,,,,,,
east,mesophotic,7009,,,,,,,,
east,mesophotic,7011,,,,,,,,
east,mesophotic,7015,,,,,,,,
east,mesophotic,03-V-16-1-01-71,,,,,,,,
east,mesophotic,03-V-16-1-02-72,,,,,,,,
east,mesophotic,03-V-16-1-03,,,,,,,,
east,mesophotic,04-V-16-1-01-74,,,,,,,,
east,mesophotic,04-V-16-1-04,,,,,,,,
east,mesophotic,04-V-16-1-05,,,,,,,,
east,mesophotic,04-V-16-2-04-193,,,,,,,,
mcgrail,mesophotic,06-V-16-1-01,,,,,,,,
mcgrail,mesophotic,06-V-16-1-02,,,,,,,,
mcgrail,mesophotic,06-V-16-1-03,,,,,,,,
mcgrail,mesophotic,06-V-16-1-04,,,,,,,,
mcgrail,mesophotic,06-V-16-1-05,,,,,,,,
mcgrail,mesophotic,06-V-16-1-06,,,,,,,,
mcgrail,mesophotic,06-V-16-1-07,,,,,,,,
mcgrail,mesophotic,06-V-16-1-09,,,,,,,,
mcgrail,mesophotic,06-V-16-1-10,,,,,,,,
mcgrail,mesophotic,06-V-16-2-01,,,,,,,,
mcgrail,mesophotic,06-V-16-2-03,,,,,,,,
mcgrail,mesophotic,06-V-16-2-04,,,,,,,,
mcgrail,mesophotic,06-V-16-2-05,,,,,,,,
mcgrail,mesophotic,06-V-16-2-06,,,,,,,,
mcgrail,mesophotic,06-V-16-2-08,,,,,,,,
mcgrail,mesophotic,06-V-16-2-09,,,,,,,,
mcgrail,mesophotic,06-V-16-2-10,,,,,,,,
mcgrail,mesophotic,07-VII-15-1-01,,,,,,,,
mcgrail,mesophotic,08-VII-15-1-03,,,,,,,,
mcgrail,mesophotic,08-VII-15-1-05,,,,,,,,
mcgrail,mesophotic,08-VII-15-2-01,,,,,,,,
mcgrail,mesophotic,08-VII-15-2-02,,,,,,,,
mcgrail,mesophotic,08-VII-15-2-04,,,,,,,,
mcgrail,mesophotic,08-VII-15-2-05,,,,,,,,
mcgrail,mesophotic,08-VII-15-2-06,,,,,,,,
